Time,Velocity
Seconds,Knots
59.65,0.17999999
59.7,0.19999999
59.75,0.12
59.8,0.31999999
59.85,0.09999999
59.9,0.17999999
59.95,0.17
60,0.17
60.05,0.22
60.1,0.09999999
60.15,0.13
60.2,0.14
60.25,0.12
60.3,0.08
60.35,0.12
60.4,0.22
60.45,0.08
60.5,0.19
60.55,0.13
60.6,0.13
60.65,0.17999999
60.7,0.04
60.75,0.17
60.8,0.04
60.85,0.13
60.9,0.06
60.95,0.17999999
61,0.07
61.05,0.09
61.1,0.11
61.15,0.14999999
61.2,0.09
61.25,0.20999999
61.3,0.06
61.35,0.06
61.4,0.06
61.45,0.17
61.5,0.05
61.55,0.20999999
61.6,0.17999999
61.65,0.14999999
61.7,0.25999999
61.75,0.12
61.8,0.09
61.85,0.08
61.9,0.09999999
61.95,0.13
62,0.12
62.05,0.06
62.1,0.11
62.15,0.31
62.2,0.08
62.25,0.20999999
62.3,0.11
62.35,0.13
62.4,0.12
62.45,0.28999999
62.5,0.23999999
62.55,0.02
62.6,0.11
62.65,0.07
62.7,0.16
62.75,0.12
62.8,0.05
62.85,0.02
62.9,0.05
62.95,0.04
63,0.28999999
63.05,0.13
63.1,0.19999999
63.15,0.06
63.2,0.16
63.25,0.09
63.3,0.17999999
63.35,0.08
63.4,0.17999999
63.45,0.19999999
63.5,0.19
63.55,0.13
63.6,0.17
63.65,0.20999999
63.7,0.34999999
63.75,0.07
63.8,0.12
63.85,0.09
63.9,0.05
63.95,0.09
64,0.09
64.05,0.05
64.1,0.07
64.15,0.09999999
64.2,0.14999999
64.25,0.17
64.3,0.29999998
64.35,0.12
64.4,0.38999999
64.45,0.38999999
64.5,0.06
64.55,0.38
64.6,0.37
64.65,0.25999999
64.7,0.39999998
64.75,0.55000001
64.8,0.44999999
64.85,0.62
64.9,0.55000001
64.95,0.55000001
65,0.70999998
65.05,0.62
65.1,0.62
65.15,0.78999996
65.2,0.87
65.25,0.87
65.3,0.88
65.35,1.14999998
65.4,1.06999993
65.45,1.25999999
65.5,1.25999999
65.55,1.22000003
65.6,1.22000003
65.65,1.37
65.7,1.65999997
65.75,1.56999993
65.8,1.56999993
65.85,1.76999998
65.9,1.62
65.95,2
66,2.04999995
66.05,2.19000006
66.1,2.32999992
66.15,2.32999992
66.2,2.64999986
66.25,2.64999986
66.3,2.50999999
66.35,2.95000005
66.4,2.95000005
66.45,3.05999994
66.5,3.05999994
66.55,3.22000003
66.6,3.33999991
66.65,3.38999987
66.7,3.75
66.75,3.75
66.8,4.06999969
66.85,4.06999969
66.9,4.04999971
66.95,4.38000011
67,4.36000013
67.05,4.73999977
67.1,4.58999968
67.15,5.21000004
67.2,5.21000004
67.25,5.13999987
67.3,5.54999971
67.35,5.54999971
67.4,5.81999969
67.45,5.81999969
67.5,6.02999973
67.55,6.10999966
67.6,6.17000008
67.65,6.56999969
67.7,6.56999969
67.75,6.75
67.8,7.05999994
67.85,7.17000008
67.9,7.36999989
67.95,7.61999989
68,7.61999989
68.05,7.77999973
68.1,7.9199996
68.15,8.13999939
68.2,8.26000023
68.25,8.48999977
68.3,8.38999939
68.35,8.94999981
68.4,8.94999981
68.45,9.18999958
68.5,9.26000023
68.55,9.7699995
68.6,9.7699995
68.65,9.73999977
68.7,9.93999958
68.75,10.18999958
68.8,10.13000011
68.85,10.86999989
68.9,10.86999989
68.95,11.06999969
69,11.06999969
69.05,11.18999958
69.1,11.38000011
69.15,11.5
69.2,11.80000019
69.25,11.96999931
69.3,12.34000015
